##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	82104	no rank	MITOSPORIC HERPOTRICHIELLACEAE	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	43219	family	HERPOTRICHIELLACEAE	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	858893	no rank	EXOPHIALA DERMATITIDIS NIH/UT8656	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	451870	subclass	CHAETOTHYRIOMYCETIDAE	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	5970	species	EXOPHIALA DERMATITIDIS	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7424	genus	NASONIA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	88770	no rank	PANARTHROPODA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7399	order	HYMENOPTERA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	272201	no rank	CHALDICOIDEA GROUP	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	197562	no rank	PANCRUSTACEA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	1206794	no rank	ECDYSOZOA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33392	infraclass	ENDOPTERYGOTA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7422	superfamily	CHALCIDOIDEA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	6656	phylum	ARTHROPODA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7400	no rank	APOCRITA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7425	species	NASONIA VITRIPENNIS	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33340	subclass	NEOPTERA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33317	no rank	PROTOSTOMIA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	272242	subfamily	PTEROMALINAE	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	85512	no rank	DICONDYLIA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	6960	superclass	HEXAPODA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	197563	no rank	MANDIBULATA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	50557	class	INSECTA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7496	no rank	PTERYGOTA	0.00467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7423	family	PTEROMALIDAE	0.00467786376132281	V696
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2157	superkingdom	ARCHAEA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	196119	genus	METHANOTORRIS	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	1051663	class	NANOHALOARCHAEA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2759	superkingdom	EUKARYOTA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2301	order	THERMOPLASMATALES	0.0714285714285714	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	183967	class	THERMOPLASMATA	0.0714285714285714	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	523846	no rank	METHANOTHERMUS FERVIDUS DSM 2088	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2180	species	METHANOTHERMUS FERVIDUS	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	160232	species	NANOARCHAEUM EQUITANS	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2179	genus	METHANOTHERMUS	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	193568	genus	NANOARCHAEUM	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	192989	phylum	NANOARCHAEOTA	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2178	family	METHANOTHERMACEAE	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	228908	no rank	NANOARCHAEUM EQUITANS KIN4 M	0.0357142857142857	ef2_noOuts
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1747	species	PROPIONIBACTERIUM ACNES	0.695890685832209	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	33010	species	PROPIONIBACTERIUM AVIDUM	0.121719142322537	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1170318	no rank	PROPIONIBACTERIUM AVIDUM 44067	0.121719142322537	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1743	genus	PROPIONIBACTERIUM	0.0606710295227182	concat
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	enolase
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	1175452	species	PEPTONIPHILUS RHINITIDIS	0.481611953645096	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.481611953645096	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	162289	genus	PEPTONIPHILUS	0.0183833237523037	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	54005	species	PEPTONIPHILUS HAREI	0.00919638447875184	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	908338	no rank	PEPTONIPHILUS HAREI ACS 146 V SCH2B	0.00919638447875184	ef1aLike
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1243664	species	BACILLUS SP. G22012B	0.840006682022168	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	81852	family	ENTEROCOCCACEAE	0.105971132968321	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1386	genus	BACILLUS	0.0274885521115055	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1350	genus	ENTEROCOCCUS	0.0265336328980053	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	1351	species	ENTEROCOCCUS FAECALIS	0.858157173376	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.141842826624	concat
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	10319	genus	VARICELLOVIRUS	0.4945798555114	V367
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	10294	genus	SIMPLEXVIRUS	0.410095100495	V367
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	481315	species	LEPORID HERPESVIRUS 4	0.0953250439936	V367
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	11642	species	SIMIAN FOAMY VIRUS	0.4562105183776	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	53182	species	FELINE FOAMY VIRUS	0.142339431104	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	207343	species	BOVINE FOAMY VIRUS	0.142339431104	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	109270	species	EQUINE FOAMY VIRUS	0.142339431104	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	11963	no rank	HUMAN SPUMARETROVIRUS	0.0291927970776	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	11641	no rank	HUMAN FOAMY VIRUS	0.0291927970776	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	338478	species	MACAQUE SIMIAN FOAMY VIRUS	0.0291927970776	V743
SRR492065.112 HWI-EAS385_0095_FC:2:1:16584:1480 length=200	37.189	41858	no rank	SIMIAN FOAMY VIRUS GORILLA	0.0291927970776	V743
SRR492065.6719 HWI-EAS385_0095_FC:2:1:10623:4360 length=200	2.142	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	concat
SRR492065.6719 HWI-EAS385_0095_FC:2:1:10623:4360 length=200	2.142	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	concat
SRR492065.8396 HWI-EAS385_0095_FC:2:1:9914:5051 length=200	96.200	1194085	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA40	0.200259738298	V64
SRR492065.8396 HWI-EAS385_0095_FC:2:1:9914:5051 length=200	96.200	904746	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21264	0.200259597619	V64
SRR492065.8396 HWI-EAS385_0095_FC:2:1:9914:5051 length=200	96.200	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.200247366077	V64
SRR492065.8396 HWI-EAS385_0095_FC:2:1:9914:5051 length=200	96.200	1278071	no rank	STAPHYLOCOCCUS AUREUS 3957	0.199909205531	V64
SRR492065.8396 HWI-EAS385_0095_FC:2:1:9914:5051 length=200	96.200	1280	species	STAPHYLOCOCCUS AUREUS	0.199324092475	V64
SRR492065.2747 HWI-EAS385_0095_FC:2:1:12135:2657 length=200	91.192	1351	species	ENTEROCOCCUS FAECALIS	0.571410701036	metk_noOuts
SRR492065.2747 HWI-EAS385_0095_FC:2:1:12135:2657 length=200	91.192	1134794	no rank	ENTEROCOCCUS FAECALIS ERV65	0.143164884592	metk_noOuts
SRR492065.2747 HWI-EAS385_0095_FC:2:1:12135:2657 length=200	91.192	749492	no rank	ENTEROCOCCUS FAECALIS TX2141	0.142749499936	metk_noOuts
SRR492065.2747 HWI-EAS385_0095_FC:2:1:12135:2657 length=200	91.192	565647	no rank	ENTEROCOCCUS FAECALIS E1SOL	0.142674914436	metk_noOuts
SRR492065.5693 HWI-EAS385_0095_FC:2:1:7519:3925 length=200	2.103	1351	species	ENTEROCOCCUS FAECALIS	1	concat
SRR492065.7015 HWI-EAS385_0095_FC:2:1:8725:4477 length=200	3.104	1351	species	ENTEROCOCCUS FAECALIS	0.858660464166859	concat
SRR492065.7015 HWI-EAS385_0095_FC:2:1:8725:4477 length=200	3.104	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.141339535833141	concat
SRR492065.6741 HWI-EAS385_0095_FC:2:1:10646:4372 length=200	2.142	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	concat
SRR492065.6741 HWI-EAS385_0095_FC:2:1:10646:4372 length=200	2.142	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	concat
SRR492065.7491 HWI-EAS385_0095_FC:2:1:15889:4663 length=200	73.198	1351	species	ENTEROCOCCUS FAECALIS	0.491142846713867	concat
SRR492065.7491 HWI-EAS385_0095_FC:2:1:15889:4663 length=200	73.198	565644	no rank	ENTEROCOCCUS FAECALIS CH188	0.253017039012932	concat
SRR492065.7491 HWI-EAS385_0095_FC:2:1:15889:4663 length=200	73.198	749517	no rank	ENTEROCOCCUS FAECALIS TX1467	0.252030487318932	concat
SRR492065.7491 HWI-EAS385_0095_FC:2:1:15889:4663 length=200	73.198	1377	species	AEROCOCCUS VIRIDANS	0.00380962695426897	concat
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	327984	no rank	UNCLASSIFIED IRIDOVIRUS	0.273888724988726	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	10492	genus	RANAVIRUS	0.132705904436867	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	327987	no rank	UNCLASSIFIED RANAVIRUS	0.100382006802233	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	262968	species	SINGAPORE GROUPER IRIDOVIRUS	0.100382006802233	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	127569	no rank	GROUPER IRIDOVIRUS	0.100382006802233	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	35237	no rank	DSDNA VIRUSES NO RNA STAGE	0.0523272410806143	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	365144	no rank	SOFT SHELLED TURTLE IRIDOVIRUS	0.0523272410806143	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	10239	superkingdom	VIRUSES	0.0523272410806143	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	345201	species	INVERTEBRATE IRIDESCENT VIRUS 3	0.0450925423086216	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	386586	no rank	AEDES TAENIORHYNCHUS IRIDESCENT VIRUS	0.0450925423086216	V505
SRR492065.1686 HWI-EAS385_0095_FC:2:1:16955:2176 length=200	49.195	10491	genus	CHLORIRIDOVIRUS	0.0450925423086216	V505
SRR492065.2202 HWI-EAS385_0095_FC:2:1:19763:2393 length=200	3.107	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	concat
SRR492065.2202 HWI-EAS385_0095_FC:2:1:19763:2393 length=200	3.107	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	concat
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	872330	species	ACIDITHIOBACILLUS SP. GGI 221	0.283028924932943	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	455353	species	BRADYRHIZOBIUM SP. CCBAU 15544	0.182244031977964	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	1048261	no rank	PSEUDOMONAS PUTIDA B001	0.128528656217241	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	103621	species	ACTINOMYCES UROGENITALIS	0.0903173526254486	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	525246	no rank	ACTINOMYCES UROGENITALIS DSM 15434	0.0903173526254486	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	2061	species	TSUKAMURELLA PAUROMETABOLA	0.054769016067989	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	521096	no rank	TSUKAMURELLA PAUROMETABOLA DSM 20162	0.054769016067989	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	129052	species	CATELLIGLOBOSISPORA KOREENSIS	0.0386752164949923	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	1121272	no rank	CATELLIGLOBOSISPORA KOREENSIS DSM 44566	0.0386752164949923	V387
SRR492065.7069 HWI-EAS385_0095_FC:2:1:17611:4489 length=200	34.147	1121253	genus	CATELLIGLOBOSISPORA	0.0386752164949923	V387
SRR492065.1941 HWI-EAS385_0095_FC:2:1:15737:2288 length=200	96.200	1351	species	ENTEROCOCCUS FAECALIS	0.858487560401141	concat
SRR492065.1941 HWI-EAS385_0095_FC:2:1:15737:2288 length=200	96.200	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.141512439598858	concat
SRR492065.7677 HWI-EAS385_0095_FC:2:1:17947:4741 length=200	1.102	1351	species	ENTEROCOCCUS FAECALIS	0.858731311441859	concat
SRR492065.7677 HWI-EAS385_0095_FC:2:1:17947:4741 length=200	1.102	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.141268688558141	concat
SRR492065.5848 HWI-EAS385_0095_FC:2:1:19103:3980 length=200	2.106	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	enolase
SRR492065.5848 HWI-EAS385_0095_FC:2:1:19103:3980 length=200	2.106	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	enolase
SRR492065.7237 HWI-EAS385_0095_FC:2:1:11732:4557 length=200	7.141	180252	genus	MARDIVIRUS	0.526687318839653	V367
SRR492065.7237 HWI-EAS385_0095_FC:2:1:11732:4557 length=200	7.141	104388	species	ANATID HERPESVIRUS 1	0.226562226306023	V367
SRR492065.7237 HWI-EAS385_0095_FC:2:1:11732:4557 length=200	7.141	10294	genus	SIMPLEXVIRUS	0.19626808914852	V367
SRR492065.7237 HWI-EAS385_0095_FC:2:1:11732:4557 length=200	7.141	10319	genus	VARICELLOVIRUS	0.0504823657058051	V367
SRR492065.6914 HWI-EAS385_0095_FC:2:1:16870:4423 length=200	1.111	1175452	species	PEPTONIPHILUS RHINITIDIS	0.495345800244426	V20
SRR492065.6914 HWI-EAS385_0095_FC:2:1:16870:4423 length=200	1.111	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.495345800244426	V20
SRR492065.6914 HWI-EAS385_0095_FC:2:1:16870:4423 length=200	1.111	162289	genus	PEPTONIPHILUS	0.0093083995111486	V20
SRR492065.7472 HWI-EAS385_0095_FC:2:1:15903:4648 length=200	73.198	1351	species	ENTEROCOCCUS FAECALIS	0.85808640026	concat
SRR492065.7472 HWI-EAS385_0095_FC:2:1:15903:4648 length=200	73.198	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.14191359974	concat
SRR492065.8576 HWI-EAS385_0095_FC:2:1:3978:5138 length=200	1.102	1351	species	ENTEROCOCCUS FAECALIS	0.319461939017256	V385
SRR492065.8576 HWI-EAS385_0095_FC:2:1:3978:5138 length=200	1.102	474186	no rank	ENTEROCOCCUS FAECALIS OG1RF	0.160025273621128	V385
SRR492065.8576 HWI-EAS385_0095_FC:2:1:3978:5138 length=200	1.102	565640	no rank	ENTEROCOCCUS FAECALIS T11	0.160024920159128	V385
SRR492065.8576 HWI-EAS385_0095_FC:2:1:3978:5138 length=200	1.102	565649	no rank	ENTEROCOCCUS FAECALIS FLY1	0.159744637432128	V385
SRR492065.8576 HWI-EAS385_0095_FC:2:1:3978:5138 length=200	1.102	749516	no rank	ENTEROCOCCUS FAECALIS TX1346	0.159717679804128	V385
SRR492065.8576 HWI-EAS385_0095_FC:2:1:3978:5138 length=200	1.102	1134801	no rank	ENTEROCOCCUS FAECALIS R508	0.0410255499662328	V385
SRR492065.1994 HWI-EAS385_0095_FC:2:1:15738:2310 length=200	96.197	1351	species	ENTEROCOCCUS FAECALIS	0.858435338324	concat
SRR492065.1994 HWI-EAS385_0095_FC:2:1:15738:2310 length=200	96.197	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.141564661676	concat
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	481315	species	LEPORID HERPESVIRUS 4	0.342160620073795	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	10353	species	SAIMIRIINE HERPESVIRUS 1	0.304917453344817	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	10319	genus	VARICELLOVIRUS	0.164250224211851	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	10294	genus	SIMPLEXVIRUS	0.164250224211851	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	79889	no rank	BOVINE HERPESVIRUS TYPE 1.1	0.00673331061499596	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	10320	species	BOVINE HERPESVIRUS 1	0.00673331061499596	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	10338	no rank	HUMAN HERPESVIRUS 3 STRAIN DUMAS	0.00547742846384671	V616
SRR492065.1716 HWI-EAS385_0095_FC:2:1:18206:2196 length=200	20.199	10335	species	HUMAN HERPESVIRUS 3	0.00547742846384671	V616
SRR492065.1275 HWI-EAS385_0095_FC:2:1:11025:2022 length=200	96.200	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	concat
SRR492065.1275 HWI-EAS385_0095_FC:2:1:11025:2022 length=200	96.200	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	concat
SRR492065.9891 HWI-EAS385_0095_FC:2:1:8277:5668 length=200	54.200	768486	no rank	ENTEROCOCCUS HIRAE ATCC 9790	0.5	concat
