#Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Cumulative_Probability_Mass	Markers_Hit
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	54076	species	THERMOCOCCUS ZILLIGII	0.10865487005	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	944644	family	MARSEILLEVIRUS FAMILY	0.090722858074	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	365144	no rank	SOFT SHELLED TURTLE IRIDOVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	180170	species	INFECTIOUS SPLEEN AND KIDNEY NECROSIS VIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	10492	genus	RANAVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	273651	species	TURBOT REDDISH BODY IRIDOVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	10493	species	FROG VIRUS 3	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	322017	no rank	ORANGE SPOTTED GROUPER IRIDOVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	69014	no rank	THERMOCOCCUS KODAKARENSIS KOD1	0.054327440141	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	1151117	no rank	THERMOCOCCUS ZILLIGII AN1	0.054327435025	V441
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	81852	family	ENTEROCOCCACEAE	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1239	phylum	FIRMICUTES	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1350	genus	ENTEROCOCCUS	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	91061	class	BACILLI	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	2	superkingdom	BACTERIA	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1351	species	ENTEROCOCCUS FAECALIS	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1	no rank	ROOT	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	131567	no rank	CELLULAR ORGANISMS	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	186826	order	LACTOBACILLALES	1	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	749494	no rank	ENTEROCOCCUS FAECALIS TX4244	0.142857139588143	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	749510	no rank	ENTEROCOCCUS FAECALIS TX0645	0.142857124128143	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1201292	no rank	ENTEROCOCCUS FAECALIS ATCC 29212	0.142857119527143	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	525278	no rank	ENTEROCOCCUS FAECALIS TX1322	0.142857004829143	hsp70
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	186802	order	CLOSTRIDIALES	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	1239	phylum	FIRMICUTES	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	1175452	species	PEPTONIPHILUS RHINITIDIS	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	186801	class	CLOSTRIDIA	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	2	superkingdom	BACTERIA	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	1	no rank	ROOT	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	162289	genus	PEPTONIPHILUS	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	131567	no rank	CELLULAR ORGANISMS	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	538999	no rank	CLOSTRIDIALES INCERTAE SEDIS	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	543310	family	CLOSTRIDIALES FAMILY XI. INCERTAE SEDIS	1	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	concat
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	186802	order	CLOSTRIDIALES	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	1239	phylum	FIRMICUTES	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	1175452	species	PEPTONIPHILUS RHINITIDIS	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	186801	class	CLOSTRIDIA	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	2	superkingdom	BACTERIA	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	1	no rank	ROOT	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	162289	genus	PEPTONIPHILUS	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	131567	no rank	CELLULAR ORGANISMS	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	538999	no rank	CLOSTRIDIALES INCERTAE SEDIS	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	543310	family	CLOSTRIDIALES FAMILY XI. INCERTAE SEDIS	1	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	enolase
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	1	no rank	ROOT	1	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	2759	superkingdom	EUKARYOTA	0.597261052334759	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	131567	no rank	CELLULAR ORGANISMS	0.597261052334759	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33154	no rank	OPISTHOKONTA	0.597261052334759	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	147538	subphylum	PEZIZOMYCOTINA	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	147545	class	EUROTIOMYCETES	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	4890	phylum	ASCOMYCOTA	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	716545	no rank	SACCHAROMYCETA	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	451864	subkingdom	DIKARYA	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	4751	kingdom	FUNGI	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	716546	no rank	LEOTIOMYCETA	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	451870	subclass	CHAETOTHYRIOMYCETIDAE	0.503703777108302	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	34395	order	CHAETOTHYRIALES	0.431746094664259	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	10501	family	PHYCODNAVIRIDAE	0.402738947665242	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	10239	superkingdom	VIRUSES	0.402738947665242	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	35237	no rank	DSDNA VIRUSES NO RNA STAGE	0.402738947665242	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	43219	family	HERPOTRICHIELLACEAE	0.359788412220216	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	82104	no rank	MITOSPORIC HERPOTRICHIELLACEAE	0.287830729776173	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	346673	genus	COCCOLITHOVIRUS	0.268492631776828	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	5583	genus	EXOPHIALA	0.21587304733213	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	5970	species	EXOPHIALA DERMATITIDIS	0.143915364888086	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	181082	species	EMILIANIA HUXLEYI VIRUS 86	0.134246315888414	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33208	kingdom	METAZOA	0.0935572752264562	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33213	no rank	BILATERIA	0.0935572752264562	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	6072	no rank	EUMETAZOA	0.0935572752264562	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33317	no rank	PROTOSTOMIA	0.0935572752264562	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	1206794	no rank	ECDYSOZOA	0.0888794114651334	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	88770	no rank	PANARTHROPODA	0.0842015477038106	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	6656	phylum	ARTHROPODA	0.0795236839424877	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	197563	no rank	MANDIBULATA	0.0748458201811649	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	858893	no rank	EXOPHIALA DERMATITIDIS NIH/UT8656	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	197562	no rank	PANCRUSTACEA	0.0701679564198421	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	6960	superclass	HEXAPODA	0.0654900926585193	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	50557	class	INSECTA	0.0608122288971965	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	85512	no rank	DICONDYLIA	0.0561343651358737	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7496	no rank	PTERYGOTA	0.0514565013745509	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33340	subclass	NEOPTERA	0.0467786376132281	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	33392	infraclass	ENDOPTERYGOTA	0.0421007738519053	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7399	order	HYMENOPTERA	0.0374229100905825	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7400	no rank	APOCRITA	0.0327450463292597	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	272201	no rank	CHALDICOIDEA GROUP	0.0280671825679368	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7422	superfamily	CHALCIDOIDEA	0.023389318806614	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7423	family	PTEROMALIDAE	0.0187114550452912	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	272242	subfamily	PTEROMALINAE	0.0140335912839684	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7424	genus	NASONIA	0.00935572752264562	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	7425	species	NASONIA VITRIPENNIS	0.00467786376132281	V696
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	1	no rank	ROOT	1	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	131567	no rank	CELLULAR ORGANISMS	1	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2157	superkingdom	ARCHAEA	0.857142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	28890	phylum	EURYARCHAEOTA	0.571428571428571	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	183939	class	METHANOCOCCI	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	196119	genus	METHANOTORRIS	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2158	order	METHANOBACTERIALES	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	183925	class	METHANOBACTERIA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	1051663	class	NANOHALOARCHAEA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2178	family	METHANOTHERMACEAE	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	196117	family	METHANOCALDOCOCCACEAE	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	192989	phylum	NANOARCHAEOTA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2182	order	METHANOCOCCALES	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2759	superkingdom	EUKARYOTA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	183967	class	THERMOPLASMATA	0.142857142857143	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2179	genus	METHANOTHERMUS	0.107142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	193568	genus	NANOARCHAEUM	0.107142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2180	species	METHANOTHERMUS FERVIDUS	0.0714285714285714	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	160232	species	NANOARCHAEUM EQUITANS	0.0714285714285714	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	2301	order	THERMOPLASMATALES	0.0714285714285714	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	523846	no rank	METHANOTHERMUS FERVIDUS DSM 2088	0.0357142857142857	ef2_noOuts
SRR492065.1975 HWI-EAS385_0095_FC:2:1:17795:2296 length=200	64.177	228908	no rank	NANOARCHAEUM EQUITANS KIN4 M	0.0357142857142857	ef2_noOuts
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	85003	subclass	ACTINOBACTERIDAE	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	85009	suborder	PROPIONIBACTERINEAE	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	201174	phylum	ACTINOBACTERIA	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	31957	family	PROPIONIBACTERIACEAE	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	2	superkingdom	BACTERIA	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1	no rank	ROOT	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	2037	order	ACTINOMYCETALES	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1743	genus	PROPIONIBACTERIUM	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	131567	no rank	CELLULAR ORGANISMS	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1760	class	ACTINOBACTERIA	1	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1747	species	PROPIONIBACTERIUM ACNES	0.695890685832209	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	33010	species	PROPIONIBACTERIUM AVIDUM	0.243438284645073	concat
SRR492065.4798 HWI-EAS385_0095_FC:2:1:11654:3534 length=200	1.105	1170318	no rank	PROPIONIBACTERIUM AVIDUM 44067	0.121719142322537	concat
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	186802	order	CLOSTRIDIALES	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	1239	phylum	FIRMICUTES	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	1175452	species	PEPTONIPHILUS RHINITIDIS	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	186801	class	CLOSTRIDIA	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	2	superkingdom	BACTERIA	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	1	no rank	ROOT	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	162289	genus	PEPTONIPHILUS	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	131567	no rank	CELLULAR ORGANISMS	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	538999	no rank	CLOSTRIDIALES INCERTAE SEDIS	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	543310	family	CLOSTRIDIALES FAMILY XI. INCERTAE SEDIS	1	enolase
SRR492065.5821 HWI-EAS385_0095_FC:2:1:19091:3968 length=200	51.200	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	enolase
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	186802	order	CLOSTRIDIALES	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	1239	phylum	FIRMICUTES	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	186801	class	CLOSTRIDIA	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	2	superkingdom	BACTERIA	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	1	no rank	ROOT	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	162289	genus	PEPTONIPHILUS	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	131567	no rank	CELLULAR ORGANISMS	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	538999	no rank	CLOSTRIDIALES INCERTAE SEDIS	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	543310	family	CLOSTRIDIALES FAMILY XI. INCERTAE SEDIS	1	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	1175452	species	PEPTONIPHILUS RHINITIDIS	0.963223907290193	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.481611953645096	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	54005	species	PEPTONIPHILUS HAREI	0.0183927689575037	ef1aLike
SRR492065.7311 HWI-EAS385_0095_FC:2:1:3127:4595 length=200	4.108	908338	no rank	PEPTONIPHILUS HAREI ACS 146 V SCH2B	0.00919638447875184	ef1aLike
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1239	phylum	FIRMICUTES	1	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	91061	class	BACILLI	1	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	2	superkingdom	BACTERIA	1	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1	no rank	ROOT	1	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	131567	no rank	CELLULAR ORGANISMS	1	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1385	order	BACILLALES	0.867495234133673	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	186817	family	BACILLACEAE	0.867495234133673	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1386	genus	BACILLUS	0.867495234133673	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1243664	species	BACILLUS SP. G22012B	0.840006682022168	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	81852	family	ENTEROCOCCACEAE	0.132504765866327	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	186826	order	LACTOBACILLALES	0.132504765866327	concat
SRR492065.6139 HWI-EAS385_0095_FC:2:1:9096:4096 length=200	1.126	1350	genus	ENTEROCOCCUS	0.0265336328980053	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	81852	family	ENTEROCOCCACEAE	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	1239	phylum	FIRMICUTES	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	1350	genus	ENTEROCOCCUS	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	91061	class	BACILLI	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	2	superkingdom	BACTERIA	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	1351	species	ENTEROCOCCUS FAECALIS	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	1	no rank	ROOT	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	131567	no rank	CELLULAR ORGANISMS	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	186826	order	LACTOBACILLALES	1	concat
SRR492065.9551 HWI-EAS385_0095_FC:2:1:15811:5537 length=200	98.199	491074	no rank	ENTEROCOCCUS FAECALIS TX0104	0.141842826624	concat
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	35237	no rank	DSDNA VIRUSES NO RNA STAGE	1	V367
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	10239	superkingdom	VIRUSES	1	V367
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	10293	subfamily	ALPHAHERPESVIRINAE	1	V367
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	1	no rank	ROOT	1	V367
SRR492065.3430 HWI-EAS385_0095_FC:2:1:16186:2937 length=200	63.191	10292	family	HERPESVIRIDAE	1	V367
